# Existing clippy allow attributes pending removal.
# Columns are tab-separated: path, exact attribute text, owner, removal target.
# New #[allow(clippy::...)] or #![allow(clippy::...)] entries must not be added without an approved exception.
src/app_init.rs	#[allow(clippy::too_many_lines)]	core-maintainers	next quality-cycle ratchet
src/app_init.rs	#[allow(clippy::too_many_lines)]	core-maintainers	next quality-cycle ratchet
src/app_shell.rs	#[allow(clippy::cognitive_complexity)]	core-maintainers	next quality-cycle ratchet
src/app_shell.rs	#[allow(clippy::cognitive_complexity)]	core-maintainers	next quality-cycle ratchet
src/github/mod.rs	#[allow(clippy::too_many_lines)]	core-maintainers	next quality-cycle ratchet
src/github/mod.rs	#[allow(clippy::too_many_lines)]	core-maintainers	next quality-cycle ratchet
src/github/mod.rs	#[allow(clippy::too_many_lines)]	core-maintainers	next quality-cycle ratchet
src/messages.rs	#[allow(clippy::too_many_lines)]	core-maintainers	next quality-cycle ratchet
src/messages.rs	#[allow(clippy::too_many_lines)]	core-maintainers	next quality-cycle ratchet
src/ui/components/issue_list.rs	#[allow(clippy::struct_excessive_bools)]	core-maintainers	next quality-cycle ratchet
tests/core/domain_state_contracts.rs	#![allow(clippy::expect_used)]	core-maintainers	next quality-cycle ratchet
tests/core/domain_state_contracts.rs	#![allow(clippy::unwrap_used)]	core-maintainers	next quality-cycle ratchet
tests/core/persistence_theme_contracts.rs	#![allow(clippy::expect_used)]	core-maintainers	next quality-cycle ratchet
tests/core/visibility_filter_contracts.rs	#![allow(clippy::expect_used)]	core-maintainers	next quality-cycle ratchet
tests/core/visibility_filter_contracts.rs	#![allow(clippy::unwrap_used)]	core-maintainers	next quality-cycle ratchet
tests/e2e/end_to_end.rs	#![allow(clippy::unwrap_used, clippy::expect_used)]	core-maintainers	next quality-cycle ratchet
tests/e2e/recovery_paths.rs	#![allow(clippy::unwrap_used, clippy::expect_used)]	core-maintainers	next quality-cycle ratchet
tests/runtime/runtime_lifecycle.rs	#![allow(clippy::expect_used)]	core-maintainers	next quality-cycle ratchet
tests/runtime/runtime_lifecycle.rs	#![allow(clippy::unwrap_used)]	core-maintainers	next quality-cycle ratchet
tests/runtime/terminal_focus_routing.rs	#![allow(clippy::expect_used)]	core-maintainers	next quality-cycle ratchet
tests/runtime/terminal_focus_routing.rs	#![allow(clippy::unwrap_used)]	core-maintainers	next quality-cycle ratchet
toy1/src/data/mock.rs	#[allow(clippy::too_many_lines)]	core-maintainers	next quality-cycle ratchet
toy1/src/events/bus.rs	#![allow(clippy::unnecessary_wraps)]	core-maintainers	next quality-cycle ratchet
